BEGINNER AMELIA 00:01:47.776417
BEGINNER PLACID 00:03:00.000000
BEGINNER CENTUM 00:03:15.000000
BEGINNER AFRAID 00:03:30.000000
BEGINNER DEPUTY 00:03:45.000000
BEGINNER DOCTOR 00:04:00.000000
BEGINNER CACTUS 00:04:15.000000
BEGINNER ANIMAL 00:04:30.000000
BEGINNER BISHOP 00:04:45.000000
BEGINNER DRIVER 00:05:00.000000

INTERMEDIATE DRIVER 00:05:00.000000
INTERMEDIATE AMELIA 00:05:05.829190
INTERMEDIATE AMELIA 00:06:23.520259
INTERMEDIATE DOCTOR 00:09:00.000000
INTERMEDIATE ANIMAL 00:09:30.000000
INTERMEDIATE BISHOP 00:09:45.000000
INTERMEDIATE CACTUS 00:11:15.000000
INTERMEDIATE PLACID 00:12:00.000000
INTERMEDIATE AFRAID 00:12:30.000000
INTERMEDIATE DEPUTY 00:12:45.000000

EXPERT DRIVER 00:05:00.000000
EXPERT AFRAID 00:09:30.000000
EXPERT DEPUTY 00:10:45.000000
EXPERT DOCTOR 00:13:00.000000
EXPERT CACTUS 00:15:15.000000
EXPERT ANIMAL 00:18:30.000000
EXPERT CENTUM 00:24:15.000000
EXPERT BISHOP 00:24:45.000000
EXPERT DRIVER 00:25:00.000000
EXPERT PLACID 00:35:00.000000

